46|India|129|NA|2|NA|13|114|NA|0.1|NA|March 17, 2020, 03:35 GMT
47|Kuwait|123|NA|NA|NA|9|114|4|28.8|NA|March 17, 2020, 03:35 GMT
48|San Marino|109|NA|7|NA|4|98|11|NA|NA|March 17, 2020, 03:35 GMT
49|Lebanon|109|NA|3|NA|3|103|3|16|NA|March 17, 2020, 03:35 GMT
50|UAE|98|NA|NA|NA|23|75|2|9.9|NA|March 17, 2020, 03:35 GMT
51|Russia|93|NA|NA|NA|8|85|NA|0.6|NA|March 17, 2020, 03:35 GMT
52|Peru|86|NA|NA|NA|1|85|8|2.6|NA|March 17, 2020, 03:35 GMT
53|Luxembourg|81|NA|1|NA|NA|80|10|NA|NA|March 17, 2020, 03:35 GMT
54|Slovakia|72|NA|NA|NA|NA|72|NA|13.2|NA|March 17, 2020, 03:35 GMT
55|Panama|69|NA|1|NA|NA|68|NA|16|NA|March 17, 2020, 03:35 GMT
56|Taiwan|67|NA|1|NA|20|46|NA|2.8|NA|March 17, 2020, 03:35 GMT
57|Argentina|65|NA|2|NA|3|60|1|1.4|NA|March 17, 2020, 03:35 GMT
58|South Africa|64|NA|NA|NA|NA|64|NA|1.1|NA|March 17, 2020, 03:35 GMT
59|Bulgaria|62|NA|2|NA|NA|60|NA|8.9|NA|March 17, 2020, 03:35 GMT
60|Vietnam|61|NA|NA|NA|16|45|NA|0.6|NA|March 17, 2020, 03:35 GMT
61|Algeria|60|NA|4|NA|10|46|NA|1.4|NA|March 17, 2020, 03:35 GMT
62|Ecuador|58|NA|2|NA|NA|56|2|3.3|NA|March 17, 2020, 03:35 GMT
63|Croatia|57|NA|NA|NA|3|54|NA|13.9|NA|March 17, 2020, 03:35 GMT
64|Serbia|57|NA|NA|NA|1|56|2|6.5|NA|March 17, 2020, 03:35 GMT
65|Brunei|54|NA|NA|NA|NA|54|1|NA|NA|March 17, 2020, 03:35 GMT
66|Colombia|54|NA|NA|NA|1|53|NA|1.1|NA|March 17, 2020, 03:35 GMT
67|Mexico|53|NA|NA|NA|4|49|1|0.4|NA|March 17, 2020, 03:35 GMT
68|Armenia|52|NA|NA|NA|1|51|2|17.5|NA|March 17, 2020, 03:35 GMT
69|Albania|51|NA|1|NA|NA|50|2|17.7|NA|March 17, 2020, 03:35 GMT
70|Turkey|47|NA|NA|NA|NA|47|NA|0.6|NA|March 17, 2020, 03:35 GMT
71|Cyprus|46|NA|NA|NA|NA|46|1|38.1|NA|March 17, 2020, 03:35 GMT
72|Costa Rica|41|NA|NA|NA|NA|41|3|8|NA|March 17, 2020, 03:35 GMT
73|Hungary|39|NA|1|NA|2|36|NA|4|NA|March 17, 2020, 03:35 GMT
74|Palestine|39|NA|NA|NA|NA|39|NA|7.6|NA|March 17, 2020, 03:35 GMT
75|Morocco|38|NA|1|NA|1|36|1|1|NA|March 17, 2020, 03:35 GMT
76|Belarus|36|NA|NA|NA|3|33|NA|3.8|NA|March 17, 2020, 03:35 GMT
77|Latvia|34|NA|NA|NA|1|33|NA|18|NA|March 17, 2020, 03:35 GMT
78|Georgia|33|NA|NA|NA|1|32|1|8.3|NA|March 17, 2020, 03:35 GMT
79|Malta|30|NA|NA|NA|2|28|NA|NA|NA|March 17, 2020, 03:35 GMT
80|Jordan|29|NA|NA|NA|1|28|NA|2.8|NA|March 17, 2020, 03:35 GMT
81|Moldova|29|NA|NA|NA|1|28|1|7.2|NA|March 17, 2020, 03:35 GMT
82|Uruguay|29|NA|NA|NA|NA|29|NA|8.3|NA|March 17, 2020, 03:35 GMT
83|Sri Lanka|28|NA|NA|NA|1|27|NA|1.3|NA|March 17, 2020, 03:35 GMT
84|Senegal|27|NA|NA|NA|2|25|NA|1.6|NA|March 17, 2020, 03:35 GMT
85|Azerbaijan|25|NA|1|NA|6|18|NA|2.5|NA|March 17, 2020, 03:35 GMT
86|Bosnia and Herzegovina|25|NA|NA|NA|2|23|NA|7.6|NA|March 17, 2020, 03:35 GMT
87|North Macedonia|24|NA|NA|NA|1|23|1|11.5|NA|March 17, 2020, 03:35 GMT
88|Oman|24|NA|NA|NA|9|15|NA|4.7|NA|March 17, 2020, 03:35 GMT
89|Dominican Republic|21|NA|1|NA|NA|20|NA|1.9|NA|March 17, 2020, 03:35 GMT
90|Afghanistan|21|NA|NA|NA|1|20|NA|0.5|NA|March 17, 2020, 03:35 GMT
91|Tunisia|20|NA|NA|NA|NA|20|2|1.7|NA|March 17, 2020, 03:35 GMT
92|Lithuania|18|NA|NA|NA|1|17|NA|6.6|NA|March 17, 2020, 03:35 GMT
93|Faeroe Islands|18|NA|NA|NA|NA|18|NA|NA|NA|March 17, 2020, 03:35 GMT
94|Venezuela|17|NA|NA|NA|NA|17|NA|0.6|NA|March 17, 2020, 03:35 GMT
95|Martinique|15|NA|1|NA|NA|14|NA|NA|NA|March 17, 2020, 03:35 GMT
96|Burkina Faso|15|NA|NA|NA|NA|15|NA|0.7|NA|March 17, 2020, 03:35 GMT
97|Jamaica|15|NA|NA|NA|2|13|NA|5.1|NA|March 17, 2020, 03:35 GMT
98|Andorra|14|NA|NA|NA|NA|14|NA|NA|NA|March 17, 2020, 03:35 GMT
99|Maldives|13|NA|NA|NA|NA|13|NA|NA|NA|March 17, 2020, 03:35 GMT
100|Cambodia|12|NA|NA|NA|1|11|NA|0.7|NA|March 17, 2020, 03:35 GMT
101|Macao|12|NA|NA|NA|10|2|NA|NA|NA|March 17, 2020, 03:35 GMT
102|New Zealand|11|3|NA|NA|NA|11|NA|2.3|NA|March 17, 2020, 03:35 GMT
103|Bolivia|11|NA|NA|NA|NA|11|NA|0.9|NA|March 17, 2020, 03:35 GMT
104|French Guiana|11|NA|NA|NA|NA|11|NA|NA|NA|March 17, 2020, 03:35 GMT
105|Kazakhstan|10|NA|NA|NA|NA|10|NA|0.5|NA|March 17, 2020, 03:35 GMT
106|Monaco|9|NA|NA|NA|NA|9|NA|NA|NA|March 17, 2020, 03:35 GMT
107|Réunion|9|NA|NA|NA|NA|9|NA|NA|NA|March 17, 2020, 03:35 GMT
108|Guatemala|8|NA|1|NA|NA|7|NA|0.4|NA|March 17, 2020, 03:35 GMT
109|Bangladesh|8|NA|NA|NA|3|5|NA|NA|NA|March 17, 2020, 03:35 GMT
110|Paraguay|8|NA|NA|NA|NA|8|1|1.1|NA|March 17, 2020, 03:35 GMT
111|Uzbekistan|8|NA|NA|NA|NA|8|NA|0.2|NA|March 17, 2020, 03:35 GMT
112|Guyana|7|NA|1|NA|NA|6|NA|NA|NA|March 17, 2020, 03:35 GMT
113|Ukraine|7|NA|1|NA|NA|6|NA|0.2|NA|March 17, 2020, 03:35 GMT
114|Liechtenstein|7|NA|NA|NA|NA|7|NA|NA|NA|March 17, 2020, 03:35 GMT
115|Rwanda|7|NA|NA|NA|NA|7|NA|0.5|NA|March 17, 2020, 03:35 GMT
116|Channel Islands|6|NA|NA|NA|NA|6|NA|NA|NA|March 17, 2020, 03:35 GMT
117|Ghana|6|NA|NA|NA|NA|6|NA|0.2|NA|March 17, 2020, 03:35 GMT
118|Guadeloupe|6|NA|NA|NA|NA|6|NA|NA|NA|March 17, 2020, 03:35 GMT
119|Honduras|6|NA|NA|NA|NA|6|NA|0.6|NA|March 17, 2020, 03:35 GMT
120|Cameroon|5|NA|NA|NA|NA|5|NA|0.2|NA|March 17, 2020, 03:35 GMT
121|Ethiopia|5|NA|NA|NA|NA|5|NA|NA|NA|March 17, 2020, 03:35 GMT
122|Puerto Rico|5|NA|NA|NA|NA|5|NA|1.7|NA|March 17, 2020, 03:35 GMT
123|Ivory Coast|4|NA|NA|NA|NA|4|NA|0.2|NA|March 17, 2020, 03:35 GMT
124|Cuba|4|NA|NA|NA|NA|4|NA|0.4|NA|March 17, 2020, 03:35 GMT
125|Mongolia|4|NA|NA|NA|NA|4|NA|1.2|NA|March 17, 2020, 03:35 GMT
126|Trinidad and Tobago|4|NA|NA|NA|NA|4|NA|2.9|NA|March 17, 2020, 03:35 GMT
127|DRC|3|NA|NA|NA|NA|3|NA|NA|NA|March 17, 2020, 03:35 GMT
128|French Polynesia|3|NA|NA|NA|NA|3|NA|NA|NA|March 17, 2020, 03:35 GMT
129|Gibraltar|3|NA|NA|NA|1|2|NA|NA|NA|March 17, 2020, 03:35 GMT
130|Guam|3|NA|NA|NA|NA|3|NA|NA|NA|March 17, 2020, 03:35 GMT
131|Kenya|3|NA|NA|NA|NA|3|NA|0.1|NA|March 17, 2020, 03:35 GMT
132|St. Barth|3|NA|NA|NA|NA|3|NA|NA|NA|March 17, 2020, 03:35 GMT
133|Seychelles|3|NA|NA|NA|NA|3|NA|NA|NA|March 17, 2020, 03:35 GMT
134|Nigeria|2|NA|NA|NA|1|1|NA|NA|NA|March 17, 2020, 03:35 GMT
135|Aruba|2|NA|NA|NA|NA|2|NA|NA|NA|March 17, 2020, 03:35 GMT
136|Curaçao|2|NA|NA|NA|NA|2|NA|NA|NA|March 17, 2020, 03:35 GMT
137|Namibia|2|NA|NA|NA|NA|2|NA|0.8|NA|March 17, 2020, 03:35 GMT
138|Saint Lucia|2|NA|NA|NA|NA|2|NA|NA|NA|March 17, 2020, 03:35 GMT
139|Saint Martin|2|NA|NA|NA|NA|2|NA|NA|NA|March 17, 2020, 03:35 GMT
140|Cayman Islands|1|NA|1|NA|NA|0|NA|NA|NA|March 17, 2020, 03:35 GMT
141|Sudan|1|NA|1|NA|NA|0|NA|NA|NA|March 17, 2020, 03:35 GMT
142|Nepal|1|NA|NA|NA|1|0|NA|NA|NA|March 17, 2020, 03:35 GMT
143|Antigua and Barbuda|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
144|Bahamas|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
145|Benin|1|NA|NA|NA|NA|1|NA|0.1|NA|March 17, 2020, 03:35 GMT
146|Bhutan|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
147|CAR|1|NA|NA|NA|NA|1|NA|0.2|NA|March 17, 2020, 03:35 GMT
148|Congo|1|NA|NA|NA|NA|1|NA|0.2|NA|March 17, 2020, 03:35 GMT
149|Equatorial Guinea|1|NA|NA|NA|NA|1|NA|0.7|NA|March 17, 2020, 03:35 GMT
150|Gabon|1|NA|NA|NA|NA|1|NA|0.4|NA|March 17, 2020, 03:35 GMT
151|Greenland|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
152|Guinea|1|NA|NA|NA|NA|1|NA|0.1|NA|March 17, 2020, 03:35 GMT
153|Vatican City|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
154|Liberia|1|NA|NA|NA|NA|1|NA|0.2|NA|March 17, 2020, 03:35 GMT
155|Mauritania|1|NA|NA|NA|NA|1|NA|0.2|NA|March 17, 2020, 03:35 GMT
156|Mayotte|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
157|St. Vincent Grenadines|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
158|Somalia|1|NA|NA|NA|NA|1|NA|0.1|NA|March 17, 2020, 03:35 GMT
159|Suriname|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
160|Eswatini|1|NA|NA|NA|NA|1|NA|0.9|NA|March 17, 2020, 03:35 GMT
161|Tanzania|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
162|Togo|1|NA|NA|NA|NA|1|NA|0.1|NA|March 17, 2020, 03:35 GMT
163|U.S. Virgin Islands|1|NA|NA|NA|NA|1|NA|NA|NA|March 17, 2020, 03:35 GMT
164|Total:|182609|157|7171|24|79883|95555|6163|23.4|NA|March 17, 2020, 03:35 GMT
165|China|80881|21|3226|13|68715|8940|3226|56.2|NA|March 17, 2020, 15:15 GMT
166|Italy|27980|NA|2158|NA|2749|23073|1851|NA|NA|March 17, 2020, 15:15 GMT
167|Iran|16169|1178|988|135|5389|9792|NA|192.5|NA|March 17, 2020, 15:15 GMT
168|Spain|11409|1467|509|167|1028|9872|563|244|NA|March 17, 2020, 15:15 GMT
169|S. Korea|8320|84|81|6|1401|6838|59|162.3|NA|March 17, 2020, 15:15 GMT
170|Germany|8084|812|20|3|67|7997|2|96.5|NA|March 17, 2020, 15:15 GMT
171|France|6633|NA|148|NA|12|6473|400|101.6|NA|March 17, 2020, 15:15 GMT
172|USA|5243|580|94|8|74|5075|12|15.8|NA|March 17, 2020, 15:15 GMT
173|Switzerland|2674|321|21|2|4|2649|NA|309|NA|March 17, 2020, 15:15 GMT
174|UK|1950|407|56|1|52|1842|20|28.7|NA|March 17, 2020, 15:15 GMT
175|Netherlands|1705|292|43|19|2|1660|45|99.5|NA|March 17, 2020, 15:15 GMT
176|Norway|1438|90|3|NA|1|1434|27|265.3|NA|March 17, 2020, 15:15 GMT
177|Austria|1332|314|4|1|8|1320|12|147.9|NA|March 17, 2020, 15:15 GMT
178|Belgium|1243|185|10|NA|14|1219|33|107.3|NA|March 17, 2020, 15:15 GMT
179|Sweden|1190|69|7|NA|1|1182|12|117.8|NA|March 17, 2020, 15:15 GMT
180|Denmark|960|46|4|NA|1|955|18|165.7|NA|March 17, 2020, 15:15 GMT
181|Japan|876|43|28|NA|144|704|41|6.9|NA|March 17, 2020, 15:15 GMT
182|Diamond Princess Cruise Ship|696|NA|7|NA|456|233|15|NA|NA|March 17, 2020, 15:15 GMT
183|Malaysia|673|107|2|2|49|622|10|20.8|NA|March 17, 2020, 15:15 GMT
184|Australia|452|51|5|NA|27|420|1|17.7|NA|March 17, 2020, 15:15 GMT
185|Portugal|448|117|1|NA|3|444|18|43.9|NA|March 17, 2020, 15:15 GMT
186|Canada|440|NA|4|NA|11|425|1|11.7|NA|March 17, 2020, 15:15 GMT
187|Qatar|439|NA|NA|NA|4|435|NA|152.4|NA|March 17, 2020, 15:15 GMT
188|Czechia|396|52|NA|NA|3|393|2|37|NA|March 17, 2020, 15:15 GMT
189|Greece|352|NA|4|NA|10|338|5|33.8|NA|March 17, 2020, 15:15 GMT
190|Israel|324|26|NA|NA|11|313|4|37.4|NA|March 17, 2020, 15:15 GMT
191|Finland|322|44|NA|NA|10|312|2|58.1|NA|March 17, 2020, 15:15 GMT
192|Brazil|301|67|1|1|2|298|18|1.4|NA|March 17, 2020, 15:15 GMT
193|Slovenia|273|20|1|NA|NA|272|4|131.3|NA|March 17, 2020, 15:15 GMT
194|Singapore|266|23|NA|NA|114|152|14|45.5|NA|March 17, 2020, 15:15 GMT
195|Bahrain|237|9|1|NA|81|155|3|139.3|NA|March 17, 2020, 15:15 GMT
196|Pakistan|236|52|1|NA|2|233|NA|1.1|NA|March 17, 2020, 15:15 GMT
197|Estonia|225|20|NA|NA|1|224|NA|169.6|NA|March 17, 2020, 15:15 GMT
198|Ireland|223|NA|2|NA|5|216|6|45.2|NA|March 17, 2020, 15:15 GMT
199|Poland|221|44|5|1|NA|216|3|5.8|NA|March 17, 2020, 15:15 GMT
200|Iceland|220|21|1|1|5|214|1|NA|NA|March 17, 2020, 15:15 GMT
201|Chile|201|45|NA|NA|NA|201|3|10.5|NA|March 17, 2020, 15:15 GMT
202|Philippines|187|45|12|NA|5|170|1|1.7|NA|March 17, 2020, 15:15 GMT
203|Romania|184|16|NA|NA|16|168|5|9.6|NA|March 17, 2020, 15:15 GMT
204|Thailand|177|30|1|NA|41|135|1|2.5|NA|March 17, 2020, 15:15 GMT
205|Indonesia|172|38|5|NA|8|159|NA|0.6|NA|March 17, 2020, 15:15 GMT
206|Egypt|169|3|4|NA|32|133|NA|1.7|NA|March 17, 2020, 15:15 GMT
207|Hong Kong|162|7|4|NA|81|77|4|21.6|NA|March 17, 2020, 15:15 GMT
208|Iraq|154|21|11|1|41|102|NA|3.8|NA|March 17, 2020, 15:15 GMT
209|Luxembourg|140|59|1|NA|NA|139|10|NA|NA|March 17, 2020, 15:15 GMT
210|India|137|8|3|1|14|120|NA|0.1|NA|March 17, 2020, 15:15 GMT
211|Saudi Arabia|133|NA|NA|NA|6|127|NA|3.8|NA|March 17, 2020, 15:15 GMT
212|Kuwait|130|7|NA|NA|12|118|4|30.4|NA|March 17, 2020, 15:15 GMT
213|Lebanon|120|11|3|NA|4|113|3|17.6|NA|March 17, 2020, 15:15 GMT
214|Peru|117|31|NA|NA|1|116|8|3.5|NA|March 17, 2020, 15:15 GMT
215|Russia|114|21|NA|NA|8|106|NA|0.8|NA|March 17, 2020, 15:15 GMT
216|San Marino|102|NA|9|2|4|89|11|NA|NA|March 17, 2020, 15:15 GMT
217|UAE|98|NA|NA|NA|26|72|2|9.9|NA|March 17, 2020, 15:15 GMT
218|Slovakia|84|12|NA|NA|NA|84|2|15.4|NA|March 17, 2020, 15:15 GMT
219|Mexico|82|29|NA|NA|4|78|1|0.6|NA|March 17, 2020, 15:15 GMT
220|Taiwan|77|10|1|NA|20|56|NA|3.2|NA|March 17, 2020, 15:15 GMT
221|Armenia|72|20|NA|NA|1|71|2|24.3|NA|March 17, 2020, 15:15 GMT
222|Panama|69|NA|1|NA|NA|68|7|16|NA|March 17, 2020, 15:15 GMT
223|Argentina|68|3|2|NA|3|63|1|1.5|NA|March 17, 2020, 15:15 GMT
224|Bulgaria|67|5|2|NA|NA|65|NA|9.6|NA|March 17, 2020, 15:15 GMT
225|Vietnam|66|5|NA|NA|16|50|NA|0.7|NA|March 17, 2020, 15:15 GMT
226|Croatia|65|8|NA|NA|4|61|NA|15.8|NA|March 17, 2020, 15:15 GMT
227|Colombia|65|11|NA|NA|1|64|NA|1.3|NA|March 17, 2020, 15:15 GMT
228|Serbia|65|8|NA|NA|1|64|4|7.4|NA|March 17, 2020, 15:15 GMT
229|South Africa|62|NA|NA|NA|NA|62|NA|1|NA|March 17, 2020, 15:15 GMT
230|Algeria|60|NA|5|1|10|45|NA|1.4|NA|March 17, 2020, 15:15 GMT
231|Latvia|60|26|NA|NA|1|59|NA|31.8|NA|March 17, 2020, 15:15 GMT
232|Ecuador|58|NA|2|NA|NA|56|2|3.3|NA|March 17, 2020, 15:15 GMT
233|Brunei|56|2|NA|NA|NA|56|1|NA|NA|March 17, 2020, 15:15 GMT
234|Albania|55|4|1|NA|NA|54|2|19.1|NA|March 17, 2020, 15:15 GMT
235|Hungary|50|11|1|NA|2|47|NA|5.2|NA|March 17, 2020, 15:15 GMT
236|Faeroe Islands|47|29|NA|NA|NA|47|NA|NA|NA|March 17, 2020, 15:15 GMT
237|Turkey|47|NA|NA|NA|NA|47|NA|0.6|NA|March 17, 2020, 15:15 GMT
238|Cyprus|46|NA|NA|NA|NA|46|1|38.1|NA|March 17, 2020, 15:15 GMT
239|Sri Lanka|44|16|NA|NA|1|43|NA|2.1|NA|March 17, 2020, 15:15 GMT
240|Costa Rica|41|NA|NA|NA|NA|41|3|8|NA|March 17, 2020, 15:15 GMT
241|Palestine|41|2|NA|NA|NA|41|NA|8|NA|March 17, 2020, 15:15 GMT
242|Morocco|38|1|2|1|1|35|1|1|NA|March 17, 2020, 15:15 GMT
243|Malta|38|8|NA|NA|2|36|NA|NA|NA|March 17, 2020, 15:15 GMT
244|Belarus|36|NA|NA|NA|3|33|NA|3.8|NA|March 17, 2020, 15:15 GMT
245|Jordan|35|6|NA|NA|1|34|NA|3.4|NA|March 17, 2020, 15:15 GMT
246|Georgia|34|1|NA|NA|1|33|1|8.5|NA|March 17, 2020, 15:15 GMT
247|Cambodia|33|21|NA|NA|1|32|NA|2|NA|March 17, 2020, 15:15 GMT
248|Kazakhstan|33|23|NA|NA|NA|33|NA|1.8|NA|March 17, 2020, 15:15 GMT
249|Venezuela|33|16|NA|NA|NA|33|NA|1.2|NA|March 17, 2020, 15:15 GMT
250|Moldova|30|1|NA|NA|1|29|1|7.4|NA|March 17, 2020, 15:15 GMT
251|Uruguay|29|NA|NA|NA|NA|29|NA|8.3|NA|March 17, 2020, 15:15 GMT
252|Azerbaijan|28|3|1|NA|6|21|NA|2.8|NA|March 17, 2020, 15:15 GMT
253|Senegal|27|NA|NA|NA|2|25|NA|1.6|NA|March 17, 2020, 15:15 GMT
254|Bosnia and Herzegovina|27|2|NA|NA|2|25|NA|8.2|NA|March 17, 2020, 15:15 GMT
255|North Macedonia|26|2|NA|NA|1|25|1|12.5|NA|March 17, 2020, 15:15 GMT
256|Oman|24|NA|NA|NA|12|12|NA|4.7|NA|March 17, 2020, 15:15 GMT
257|Tunisia|24|NA|NA|NA|1|23|2|2|NA|March 17, 2020, 15:15 GMT
258|Afghanistan|22|1|NA|NA|1|21|NA|0.6|NA|March 17, 2020, 15:15 GMT
259|Dominican Republic|21|NA|1|NA|NA|20|NA|1.9|NA|March 17, 2020, 15:15 GMT
260|Lithuania|21|3|NA|NA|1|20|1|7.7|NA|March 17, 2020, 15:15 GMT
261|Andorra|16|2|NA|NA|1|15|NA|NA|NA|March 17, 2020, 15:15 GMT
262|Martinique|15|NA|1|NA|NA|14|NA|NA|NA|March 17, 2020, 15:15 GMT
263|Burkina Faso|15|NA|NA|NA|NA|15|NA|0.7|NA|March 17, 2020, 15:15 GMT
264|Macao|13|1|NA|NA|10|3|NA|NA|NA|March 17, 2020, 15:15 GMT
265|Maldives|13|NA|NA|NA|NA|13|NA|NA|NA|March 17, 2020, 15:15 GMT
266|New Zealand|12|4|NA|NA|NA|12|NA|2.5|NA|March 17, 2020, 15:15 GMT
267|Jamaica|12|NA|NA|NA|2|10|NA|4.1|NA|March 17, 2020, 15:15 GMT
268|Bolivia|11|NA|NA|NA|NA|11|NA|0.9|NA|March 17, 2020, 15:15 GMT
269|French Guiana|11|NA|NA|NA|NA|11|NA|NA|NA|March 17, 2020, 15:15 GMT
270|Uzbekistan|11|3|NA|NA|NA|11|NA|0.3|NA|March 17, 2020, 15:15 GMT
271|Bangladesh|10|2|NA|NA|3|7|NA|0.1|NA|March 17, 2020, 15:15 GMT
272|Cameroon|10|5|NA|NA|NA|10|NA|0.4|NA|March 17, 2020, 15:15 GMT
273|Monaco|9|NA|NA|NA|NA|9|NA|NA|NA|March 17, 2020, 15:15 GMT
274|Paraguay|9|1|NA|NA|NA|9|1|1.3|NA|March 17, 2020, 15:15 GMT
275|Réunion|9|NA|NA|NA|NA|9|NA|NA|NA|March 17, 2020, 15:15 GMT
276|Guatemala|8|NA|1|NA|NA|7|NA|0.4|NA|March 17, 2020, 15:15 GMT
277|Honduras|8|2|NA|NA|NA|8|NA|0.8|NA|March 17, 2020, 15:15 GMT
278|Guyana|7|NA|1|NA|NA|6|NA|NA|NA|March 17, 2020, 15:15 GMT
279|Ukraine|7|NA|1|NA|NA|6|NA|0.2|NA|March 17, 2020, 15:15 GMT
280|Liechtenstein|7|NA|NA|NA|NA|7|NA|NA|NA|March 17, 2020, 15:15 GMT
281|Rwanda|7|NA|NA|NA|NA|7|NA|0.5|NA|March 17, 2020, 15:15 GMT
282|Channel Islands|6|NA|NA|NA|NA|6|NA|NA|NA|March 17, 2020, 15:15 GMT
283|Ghana|6|NA|NA|NA|NA|6|NA|0.2|NA|March 17, 2020, 15:15 GMT
284|Guadeloupe|6|NA|NA|NA|NA|6|NA|NA|NA|March 17, 2020, 15:15 GMT
285|Cuba|5|1|NA|NA|NA|5|NA|0.4|NA|March 17, 2020, 15:15 GMT
286|Ethiopia|5|NA|NA|NA|NA|5|NA|NA|NA|March 17, 2020, 15:15 GMT
